,Method,Complexity,TimeTaken
1,none - no psd,1096.74181387101,2.35163450241089
2,none - with psd,89767.1631314429,188.516951560974
3,CPM - no psd,1057.93685446319,1.5568745136261
4,CPM - with psd,38684.2442942911,189.948743343353
5,NormCPM - no psd,3327.4980834154,1.5645215511322
6,NormCPM - with psd,61030.7810965676,190.704617738724
7,TMM - no psd,1163.48874877535,1.56178379058838
8,TMM - with psd,80731.2006743405,188.440024375916
9,Linnorm - no psd,1562.50444728759,1.56168842315674
10,Linnorm - with psd,51425.6222993193,187.917968273163
11,Seurat - no psd,1598.99533917592,1.58522820472717
12,Seurat - with psd,59687.1175217595,188.466108322144
